SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,64.0,細懸浮微粒,普通,2.7,0.23,52,50.0,55.0,22,4.1,5.1,1.0,2.1,91.0,2019-12-03 01:00,,0.3,21,51.0,1,121.760056,25.129167000000002,1
竹山,南投縣,76.0,細懸浮微粒,普通,1.2,0.41,17,25.0,44.0,28,14.0,15.0,1.2,0.5,23.0,2019-12-03 00:00,,0.4,26,48.0,2,120.677306,23.756389000000002,69
永和,新北市,63.0,細懸浮微粒,普通,1.5,0.37,39,33.0,34.0,17,12.0,13.0,1.3,2.5,80.0,2019-12-03 00:00,,0.7,20,34.0,1,121.516306,25.017,70
復興,高雄市,76.0,細懸浮微粒,普通,2.1,0.64,22,22.0,61.0,34,17.0,20.0,2.5,1.5,98.0,2019-12-03 00:00,,0.8,26,78.0,3,120.312017,22.608711,71
基隆,基隆市,62.0,細懸浮微粒,普通,2.7,0.26,49,49.0,54.0,21,5.1,6.1,1.0,1.8,90.0,2019-12-03 00:00,,0.3,20,48.0,1,121.760056,25.129167000000002,1
汐止,新北市,62.0,細懸浮微粒,普通,2.1,0.31,47,45.0,44.0,21,6.4,7.5,1.2,2.7,39.0,2019-12-03 00:00,,0.4,20,43.0,2,121.6423,25.067131,2
萬里,新北市,76.0,細懸浮微粒,普通,2.8,0.26,51,52.0,98.0,22,3.5,3.4,-0.1,11.0,22.0,2019-12-03 00:00,,0.3,26,88.0,2,121.689881,25.179667000000002,3
新店,新北市,63.0,細懸浮微粒,普通,1.7,0.33,39,38.0,41.0,14,8.9,9.9,1.0,1.3,121.0,2019-12-03 00:00,,0.5,20,41.0,1,121.537778,24.977222,4
土城,新北市,54.0,細懸浮微粒,普通,2.1,0.38,38,42.0,42.0,13,13.0,12.0,-0.2,1.2,133.0,2019-12-03 00:00,,0.5,17,42.0,2,121.45186100000001,24.982528,5
板橋,新北市,64.0,細懸浮微粒,普通,2.2,0.36,40,38.0,44.0,18,13.0,14.0,0.7,3.5,67.0,2019-12-03 00:00,,0.5,21,42.0,3,121.45866699999999,25.012972,6
新莊,新北市,67.0,細懸浮微粒,普通,1.9,0.34,43,41.0,43.0,17,7.8,8.9,1.1,4.7,42.0,2019-12-03 00:00,,0.5,22,47.0,2,121.4325,25.037972,7
菜寮,新北市,66.0,細懸浮微粒,普通,1.5,0.35,40,39.0,38.0,18,9.6,12.0,2.6,3.2,32.0,2019-12-03 00:00,,0.5,22,38.0,1,121.48102800000001,25.06895,8
林口,新北市,65.0,細懸浮微粒,普通,1.5,0.29,45,46.0,41.0,18,6.4,7.6,1.1,3.7,56.0,2019-12-03 00:00,,0.4,21,43.0,1,121.376869,25.077197,9
淡水,新北市,64.0,細懸浮微粒,普通,2.2,0.29,44,46.0,38.0,19,4.4,5.0,0.7,,,2019-12-03 00:00,,0.4,21,39.0,2,121.44923899999999,25.1645,10
士林,臺北市,52.0,細懸浮微粒,普通,2.2,0.29,46,46.0,41.0,16,5.3,6.1,0.8,2.1,41.0,2019-12-03 00:00,,0.4,16,39.0,2,121.51538899999998,25.105417000000003,11
中山,臺北市,68.0,細懸浮微粒,普通,1.6,0.4,36,34.0,45.0,20,17.0,20.0,2.9,1.5,72.0,2019-12-03 00:00,,0.5,22,48.0,2,121.526528,25.062361,12
萬華,臺北市,64.0,細懸浮微粒,普通,1.5,0.38,38,34.0,44.0,20,14.0,16.0,2.1,2.0,80.0,2019-12-03 00:00,,0.5,21,42.0,1,121.507972,25.046503,13
古亭,臺北市,64.0,細懸浮微粒,普通,1.4,0.38,39,39.0,44.0,19,13.0,14.0,0.5,1.5,53.0,2019-12-03 00:00,,0.5,21,42.0,1,121.529556,25.020608,14
松山,臺北市,66.0,細懸浮微粒,普通,2.2,0.35,42,40.0,51.0,18,8.8,9.6,0.8,2.8,38.0,2019-12-03 00:00,,0.4,22,45.0,2,121.57861100000001,25.05,15
大同,臺北市,66.0,細懸浮微粒,普通,1.7,0.45,-,,43.0,19,15.0,20.0,5.2,,,2019-12-03 00:00,,0.9,22,46.0,2,121.51331100000002,25.0632,16
桃園,桃園市,65.0,細懸浮微粒,普通,4.8,0.38,35,38.0,40.0,16,14.0,15.0,0.4,2.9,64.0,2019-12-03 00:00,,0.5,21,41.0,3,121.304383,24.995368,17
大園,桃園市,68.0,細懸浮微粒,普通,2.6,0.3,43,48.0,45.0,21,11.0,13.0,2.2,6.2,61.0,2019-12-03 00:00,,0.4,23,44.0,3,121.201811,25.060344,18
